Ticker,ROE (Return on Equity),ROA (Return on Assets),P/E Ratio (PER),Debt/Equity Ratio,Current Ratio,Quick Ratio,Revenue Growth (YoY),Earnings Growth (YoY),EPS Growth (Next 5 Years),σ (std),MDD,6개월 수익률,20일 이동평균선,60일 이동평균선,이평괴리율(20일),RSI(14),MACD,Signal
CPAY,0.29097,0.06309,19.10809,197.201,1.134,0.72,0.139,0.003,0.006,0.0228389189294027,-0.3453985162604525,-0.2078237394448074,277.0529983520508,296.2098327636719,0.0145350826165676,45.54121008312748,-5.595535706754333,-7.029559239754178
COST,0.30686,0.08833,50.360836,34.066,1.034,0.498,0.081,0.11,0.109,0.0136196160289763,-0.1729471950500481,-0.0809830875673638,930.1262756347656,940.190591430664,-0.0156605382062033,40.54621554734912,-3.5472315289820244,-3.235625064729069
CTRA,0.118549995,0.06279,12.217592,27.957,1.025,0.887,0.349,0.235,0.278,0.0193424212761942,-0.2362024375366631,0.0851591198766259,24.09449977874756,23.926333236694337,0.0952706896586255,82.59021024557403,0.6828131991216182,0.3199676196673997
CSX,0.22589001,0.07007,22.805195,155.283,0.847,0.67,-0.009,-0.196,-0.224,0.0150848133629994,-0.2671834017952468,0.159359648931705,35.80949993133545,34.5791431427002,-0.0192546950047557,42.39401140413128,0.0557940868252373,0.2127200763078537
DHR,0.06843,0.040570002,43.540207,35.544,1.519,0.835,0.044,0.134,0.11,0.0207033606224241,-0.3020216870650245,0.077664407392064,213.9729995727539,204.57042821248373,-0.0130997902043969,30.50363930248355,1.8261798196446364,3.149656703880813
CMI,0.22767,0.079050004,25.082342,62.949,1.769,0.931,-0.016,-0.341,-0.337,0.0193402962532197,-0.3048133073295015,0.4632640430071402,431.6094985961914,418.4141535441081,0.1221717731264139,76.3896472776392,12.703227984434877,7.03995320295456
DRI,0.50411,0.07475,18.605574,361.727,0.397,0.13,0.104,0.261,0.244,0.0182982660298961,-0.2195024061078684,-0.1403865738715282,182.89350128173828,193.1715840657552,-0.0508684282308974,23.634277630071622,-3.847947114883766,-3.483619455075796
DVA,0.61618,0.07007,12.414255,953.093,1.363,1.234,0.048,-0.184,-0.3,0.019566747879469,-0.3304200963450318,-0.1653701782548365,124.77800102233888,130.2251661936442,-0.0369296095116044,31.80210751919985,-2.386421787109782,-2.1808182767451214
DDOG,0.03519,-0.00503,644.25806,37.199,3.663,3.551,0.284,-0.337,-0.345,0.03192035591946,-0.4841387302189901,0.7024977016212741,162.59375076293946,147.79325129191082,0.2283374993414935,82.59110775331683,9.136076070516111,5.350411734476832
DECK,0.43312,0.21533,11.863298,14.22,3.067,2.024,0.091,0.144,0.107,0.0342753489289278,-0.643494237380962,-0.382855381067542,89.81599960327148,103.671000289917,-0.1110715608515866,23.215935041957263,-6.36112895288835,-5.928223091679548
DAL,0.28514,0.04749,8.259521,117.299,0.398,0.262,0.064,0.102,0.114,0.031604913371953,-0.479185582080458,0.1123933631842988,59.29676609039306,59.166334597269696,-0.0124250404478873,40.8737881157335,-0.213629966085854,-0.1085772470698243
DXCM,0.30635,0.07017,30.466667,94.479,1.565,1.346,0.216,1.099,1.108,0.0288086369611609,-0.3957024776574328,-0.3479966739432095,64.90149993896485,70.44316698710124,-0.1550272304313315,19.053520300653545,-3.4474559834481866,-2.258718891804832
DVN,0.18586999,0.08022001,8.0,56.274,0.957,0.758,0.071,-0.162,-0.154,0.0262516033402344,-0.3113605406069482,0.0030976488710825,32.55749979019165,34.004860464731856,0.0418489867936398,66.14581022272938,-0.1778333336902093,-0.3947198781788006
FANG,0.10901,0.051009998,10.163624,35.66,0.623,0.431,0.42,0.1,0.545,0.0243817861573827,-0.3518724166287543,0.0042069649748144,142.0984992980957,142.3903335571289,0.0185188192869157,55.32976888705002,-0.2153641581054159,-0.292933702342215
DE,0.21399,0.03736,24.798225,266.767,2.229,2.003,-0.086,-0.245,-0.257,0.0180897301105743,-0.1862216423548748,-0.0421529285889106,465.3590026855469,468.9253733317057,0.0194065483009319,59.93997250127625,2.135727761796033,0.9693375575800688
